Stuff to visit in London

Title,Note,URL,Tags,Comment
,,,🖼️ Art;📜 Sites;🛍️ Shopping,
Circolo Popolare,,https://www.google.com/maps/place/Circolo+Popolare/data=!4m2!3m1!1s0x48761ba809fd882b:0x817eee82a924ec96,,
sketch,,https://www.google.com/maps/place/sketch/data=!4m2!3m1!1s0x4876052a8fed866b:0xb07500db019d0324,,
The National Gallery,,https://www.google.com/maps/place/The+National+Gallery/data=!4m2!3m1!1s0x487604ce176ac979:0x42af85654e23a0b4,,
Ibai,,https://www.google.com/maps/place/Ibai/data=!4m2!3m1!1s0x48761b6d13447a93:0x14b179f97bd82d79,,
Tate Modern,,https://www.google.com/maps/place/Tate+Modern/data=!4m2!3m1!1s0x487604a931761995:0x1ffc6f23e06b9be7,,
SEA LIFE London Aquarium,,https://www.google.com/maps/place/SEA+LIFE+London+Aquarium/data=!4m2!3m1!1s0x487604b900d26973:0x10b3051c5b6e29be,,
Churchill War Rooms,,https://www.google.com/maps/place/Churchill+War+Rooms/data=!4m2!3m1!1s0x487604dad55789ab:0xcd8d10d8b2cf95e4,,
The Viktor Wynd Museum of Curiosities,,https://www.google.com/maps/place/The+Viktor+Wynd+Museum+of+Curiosities/data=!4m2!3m1!1s0x48761cdd474cf4ab:0x112ac614c37c815f,,
Natural History Museum,,https://www.google.com/maps/place/Natural+History+Museum/data=!4m2!3m1!1s0x48760542e6182f3f:0x7bb7e385c39764c4,,
The Exhibitionist Hotel,,https://www.google.com/maps/place/The+Exhibitionist+Hotel/data=!4m2!3m1!1s0x4876055d697a04e5:0x237a6238fbf086b7,,
Sky Garden,,https://www.google.com/maps/place/Sky+Garden/data=!4m2!3m1!1s0x487603526c3ca281:0xd5156ccc2c6a9284,,
The British Museum,,https://www.google.com/maps/place/The+British+Museum/data=!4m2!3m1!1s0x48761b323093d307:0x2fb199016d5642a7,,
The Graffiti Tunnel,,https://www.google.com/maps/place/The+Graffiti+Tunnel/data=!4m2!3m1!1s0x487604b85f1a2991:0xc209f3d0ab15695c,,
Borough Market,,https://www.google.com/maps/place/Borough+Market/data=!4m2!3m1!1s0x4876035775cf660f:0x3128e7e59ca044b9,,
Duck & Waffle,,https://www.google.com/maps/place/Duck+%26+Waffle/data=!4m2!3m1!1s0x48761cb295f6ff5f:0xb3e4152c8e522a3c,,
Highgate Cemetery,,https://www.google.com/maps/place/Highgate+Cemetery/data=!4m2!3m1!1s0x48761a4e0b8f5171:0x99fecce817187bcf,,
Sister Ray,,https://www.google.com/maps/place/Sister+Ray/data=!4m2!3m1!1s0x487604d4aeb8d1a1:0xa3c1e2562116598c,🛍️ Shopping,
Saatchi Gallery,,https://www.google.com/maps/place/Saatchi+Gallery/data=!4m2!3m1!1s0x487604cddc57baf7:0x9f64466de05d81f1,🖼️ Art,
Tower of London,,https://www.google.com/maps/place/Tower+of+London/data=!4m2!3m1!1s0x48760349331f38dd:0xa8bf49dde1d56467,📜 Sites,
Dr. Martens - Oxford Circus,,https://www.google.com/maps/place/Dr.+Martens+-+Oxford+Circus/data=!4m2!3m1!1s0x48761bfa4a5bbbf5:0x1eb23a776b77ba46,🛍️ Shopping,
Abbey Road Studios,,https://www.google.com/maps/place/Abbey+Road+Studios/data=!4m2!3m1!1s0x48761aa33eb87a9b:0xe406bb492eaf555b,📜 Sites,
